x,y,z,inflammatory_signal,ecm
-770,-730,0,0,10
-750,-730,0,0,10
-730,-730,0,0,10
-710,-730,0,0,10
-690,-730,0,0,10
-670,-730,0,0,10
-650,-730,0,0,10
-630,-730,0,0,10
-610,-730,0,0,10
-590,-730,0,0,10
-570,-730,0,0,10
-550,-730,0,0,10
-530,-730,0,0,10
-510,-730,0,0,10
-490,-730,0,0,10
-470,-730,0,0,10
-450,-730,0,0,10
-430,-730,0,0,10
-410,-730,0,0,10
-390,-730,0,0,10
-370,-730,0,0,10
-350,-730,0,0,10
-330,-730,0,0,10
-310,-730,0,0,10
-290,-730,0,0,10
-270,-730,0,0,10
-250,-730,0,0,10
-230,-730,0,0,10
-210,-730,0,0,10
-190,-730,0,0,10
-170,-730,0,0,10
-150,-730,0,0,10
-130,-730,0,0,10
-110,-730,0,0,10
-90,-730,0,0,10
-70,-730,0,0,10
-50,-730,0,0,10
-30,-730,0,0,10
-10,-730,0,0,10
10,-730,0,0,10
30,-730,0,0,10
50,-730,0,0,10
70,-730,0,0,10
90,-730,0,0,10
110,-730,0,0,10
130,-730,0,0,10
150,-730,0,0,10
170,-730,0,0,10
190,-730,0,0,10
210,-730,0,0,10
230,-730,0,0,10
250,-730,0,0,10
270,-730,0,0,10
290,-730,0,0,10
310,-730,0,0,10
330,-730,0,0,10
350,-730,0,0,10
370,-730,0,0,10
390,-730,0,0,10
410,-730,0,0,10
430,-730,0,0,10
450,-730,0,0,10
470,-730,0,0,10
490,-730,0,0,10
510,-730,0,0,10
530,-730,0,0,10
550,-730,0,0,10
570,-730,0,0,10
590,-730,0,0,10
610,-730,0,0,10
630,-730,0,0,10
650,-730,0,0,10
670,-730,0,0,10
690,-730,0,0,10
710,-730,0,0,10
730,-730,0,0,10
750,-730,0,0,10
770,-730,0,0,10
790,-730,0,0,10
-790,-710,0,0,10
-770,-710,0,0,10
-750,-710,0,0,10
-730,-710,0,0,10
-710,-710,0,0,10
-690,-710,0,0,10
-670,-710,0,0,10
-650,-710,0,0,10
-630,-710,0,0,10
-610,-710,0,0,10
-590,-710,0,0,10
-570,-710,0,0,10
-550,-710,0,0,10
-530,-710,0,0,10
-510,-710,0,0,10
