0: 2023
154: 1238,957,415,1975,742,347,766,1486,1180
1991: 937,938,502,878,1039,764
156: 1815,1111,169,515,512,468,1168,1100
157: 49,703,961,1427,414,1539
158: 883,1483,1100,1011,1209,1864,568,1385
159: 926,1996,127,82,540,1287
160: 1799,1646,1346,28,220,1401,1686
161: 1103,638,1769,1667,1390,1376,1156
162: 697,405,339,1403,1186,206
163: 1080,1905,509,1670,1429,333
164: 132,454,444,1826,975
165: 1021,46,1331,73,1293,1260,1009
166: 773,731,1321,241,660,934,530,269,700
167: 797,1008,621,236,912,460,866
168: 12,38,533,688,1580,1856,903
169: 1815,67,1111,238,1774,156,319,759
170: 754,1722,796,1341,1557,1218,1824,140
171: 1653,1763,839,257,1143,421
172: 577,967,1691,1690,940,722
2005: 301,443,906,1830,417,782,1719
174: 1215,680,305,1208,550,726,288,1197,2012
175: 802,1359,152,192,332,994,693
176: 1942,1230,1508,428,123,54,1653,1763,839
2009: 589,264,875,1426,737,48,790
178: 249,1510,1624,1796,1081,1330,180,368
179: 225,1297,2003,1987,368,398,252,1081,180,1139
180: 1479,1574,178,1796,1081,179,368,398
181: 1740,1329,1343,1481,1675
182: 1494,226,262,889,639,811,1013
183: 1216,77,1210,1234,624,376
184: 1777,763,1624,1796,1872,650,1084
185: 1964,994,399,549,1753,769,1679
186: 1032,719,1047,1256,1118,1930
187: 490,1526,1614,1601,195,506,501,999
188: 1848,338,2,774,1089,1547,987,1597,413
189: 516,362,925,973,1908,1425
190: 1644,1712,71,431,2014,1518,1060,1170,1179
191: 1114,2008,1498,334,1606,393,55,1917
192: 1886,175,1359,152,242,1371,52,1104,985
193: 1736,1766,694,1650,1424,466,1678,356,1345
194: 1779,1357,690,223,150,823,1648,249,1746,1129,1755,1330
195: 1431,1033,2019,141,562,876,1271,187,1526,506,501
196: 200,2018,1192,149,618,122,857,68
197: 1188,1148,573,1207,1801,1370
198: 1966,1368,90,1493,1380,1017,1038
199: 447,1204,777,1152,886,1277
200: 2018,1192,196,618,857,1363,1831,68
201: 70,475,1389,1077,1053,1805,1189
202: 1553,1656,1764,409,479,604,1374,1500,1818
203: 1549,435,1414,1290,412,1840
204: 1626,1635,1290,919,382,346,1549
205: 300,1706,978,776
206: 1186,1961,900,405,162,905
207: 948,617,755,869,1193,1922,949
208: 1877,1548,1682,100,1666,1411,46,1260
209: 1082,1273,417
210: 863,592,493,1309,1790,1261,64,1913
2017: 272,108,1195,119,389,871,1298,101,733
212: 111,564,1440,439,1348,977,843
213: 1693,1879,1892,30,812,1485,324,1092
214: 1999,841,336,1522,1847,1791,1698
215: 1446,229,1631,1231,357,948,351
216: 1050,66,1616,930,805,1038,1368
217: 668,1775,1467,761,840,1233,451
218: 1662,118,1031,1056,1153,713,1227
219: 1533,1806,467
220: 905,28,1537,1401,668,488,160,1346
221: 234,1443,290,1645,1623,593,247,1270,1860,309
222: 1112,1874,1802,1904,715,1152,1277
223: 1779,690,194,150,451,1467,840,488,318,1346
224: 1619,993,1674,1544,1835,1138,1362,1979
225: 1297,179,1987,1435,1139,1767,151
226: 1494,870,182,262,908,1102,566,1394,326,639
227: 1825,1484,672,1567,1803,248,1715,678,232
228: 756,1688,1071,1718,599,947,1720
229: 1446,895,1631,215,1921,677,1231,357,701,61,351
230: 1107,1571,685,1979,1619,1516,125
231: 128,303,1516,548,826,1211,1107
232: 1803,248,678,672,227,1664,988,1702
233: 1640,1333,603,943,1285,1184,1097,692,1562
234: 221,1443,290,1645,593,247,1270,1860,2013,309,1708
235: 1543,791,1697,1944,1365,1338,1266
236: 738,325,1566,912,460,866,797,167
237: 461,1927,658,563,251,1955
238: 67,169,1774,1992,319,478,47
239: 1262,590,901,1834,1471,859
240: 1565,433,904,874,996,1587,505,245
241: 166,1321,1916,978,660,934,1019,1375
242: 276,1371,280,1396,192,553,1104,1010,655
243: 273,1352,1883,1744,103,880,1369,1733,122
244: 1310,981,1897,712,1475,1488,1482,615
245: 75,1857,1282,240,1565,996,1587
246: 1054,799,666,1545,114,645,1469
247: 221,234,1443,290,1645,1270,671,629,1708,69
248: 914,1803,678,232,227,988,1702
249: 178,1510,823,1648,194,1330
250: 98,1360,1502,1666,479,853,765,528
251: 563,1241,1927,237
252: 179,2003,1987,368,1388,1755,1081,1139
253: 1424,625,1954,733,119,389,709,1150,1416
254: 1185,772,411,125,295,1669,1732,864
255: 1446,1631,873,1188,1148,573,1924
256: 1507,1528,902,753,792,1385
257: 171,839,1591,1159,1704,1214
258: 53,601,1505,602,565
259: 1938,1894,867,542,795,1012,79
260: 499,790,1901,747,1339,264,1926,397,533
261: 1983,1924,1344,1024,555,1821
262: 1494,226,870,182,1326,388,639,139,1843,1632,811,1013,508
263: 1302,1953,1941,772,1211,1571,685,864
264: 589,2009,1282,1339,48,260,790
265: 1618,833,620,968,1255,1190,1974,1264
266: 1578,1465,591,321,1786,684
267: 1577,386,1430,675,269,745,522,492
268: 1936,976,1205,1319,1419,1229,496
269: 1550,700,745,773,731,166,636,386,267
270: 1809,1882,1362,1238,957,415,1096,314,411,125,295
271: 486,10,1036,1925,384,1939
272: 2017,389,101
273: 1070,1352,1883,243,1744,1056,349,452,813
274: 1895,106,286,970,1420,1982
275: 1399,1200,1425,473,1243,855,2004
276: 242,1371,280,52,294,1396,1559,553
277: 916,878,927,598,831,938
278: 343,1366,782,815,1830,1990,1798
279: 1911,815,1078,525,1963,545,1366
280: 242,276,1371,52,294,1789,1962,1559,1886
281: 1098,708,1558,1236,751,1542
282: 19,449,946,619,1248,433,904,364
283: 344,560,1530,1000,1029,1980,1852
284: 1724,947,816,1668,932,1584,1688
285: 1054,1974,1545,1655,1741,991,968
286: 1895,106,104,274,1881,1588,1420,896,1387
287: 307,549,1582,1753,1919,1147,1512
288: 406,1197,954,2012,174,550,726,1187,958
289: 407,524,369,1242,153,1496,1201,399,1495
290: 221,234,1645,247
291: 89,450,741,1250,836,115,316,1684,109,705
292: 17,1521,673,915,860,1183,1455,1085,1831,1119
293: 1931,29,1181,495,1101,442,894
294: 1887,1064,1789,1962,1041,1559,276,280
295: 411,254,125,1809,1882,270,1979
296: 1229,496,1898,1419,436,1734,1913,1109
297: 595,142,331,1932,418,1829,366,552,99
298: 554,861,891,1184,1333,950
299: 830,427,1581,1113,552,99,323,930
300: 205,978,400,1375
301: 1198,443,2005,1830,1447,1837,1418
302: 1478,1156,1421,1781,696,26,147,1667
303: 128,532,1828,231,1211,829,1005
304: 2020,431,2014,1060,1527,1536,1213,1179
305: 174,1215,680,1641,1208,1182,726,2012
306: 1055,1884,665,115,316,1800,1175,583,1946,836
307: 607,549,287,1773,897,693,1155,1582,1512
308: 416,1219,852,1721,674,737,1504
309: 112,351,931,948,1860,221,234,1443,593
310: 1782,966,1509,96,458,881,1611,425,728
311: 1687,891,1689,1246,1265,861,1407
312: 1132,30,1793,94
2020: 304,1633,431,2014,1095,600,1328,1536,1903
314: 95,1180,1669,1238,415,270,411
315: 1490,777,715,1262,590,704,1912,1838
316: 1884,115,306,583,291,89,836,109
317: 774,1089,1417,11,379,527,1897
318: 476,760,1965,451,840,223,150
319: 478,1079,1308,987,1992,169,238,1774
320: 561,750,41,578,1863,1196,1151
321: 266,591,684,1477,1267,1923,785
322: 1967,1015,679,1099,484,1642,470,1738
323: 1113,552,99,1710,1726,1829,1616,930,299
324: 1485,94,1832,30,812,213,1892
325: 738,707,236,1566,912,917,582,138
326: 1347,1900,639,908,566,1394,1494,226
327: 1951,856,492,1977,522,544,996
328: 1302,535,1941,1082,1198,608,1998,1447,616
329: 965,1222,1990,1891
330: 1704,850,418,1649,1214,584,1355
331: 595,297,142,418,99,1164,1355
332: 1408,834,1773,802,175,693
333: 1075,1258,1429,1554,758,1670,163
334: 401,1606,349,191,2008
335: 605,531,982,1131,447,944,627
336: 1849,1263,1522,862,1851,1791,214,1999,480
337: 42,1896,1770,1409,762,1286,819,594
338: 1848,2,188,712,1089
339: 697,405,162,890,1984,1537,1709
340: 465,963,587,483,735,1230,1594
341: 1689,1585,1725,889,134,1013,1407
342: 1723,1473,989,403,1531,135,1025
343: 278,545,847,1222,1366,815,1990,1798,102
344: 353,1785,559,560,1530,1000,283,462
345: 645,1469,1475,1488,2018,1192,1363,1310,981
346: 382,1899,654,1626,204,1635
347: 742,766,154,415,1384,485,1180
348: 727,455,878,927,1378,831,784,938
349: 2008,452,334,118,273,1070
350: 135,1318,146,1909,942,456,1061
351: 112,309,873,948,229,1631,215
352: 1797,504,1950,754,1341,1445,1127
353: 559,344,1530,979,1274,471,824,1042,1671
354: 1720,1603,1071,1718,1240,1358,504,1950
355: 1018,1846,1235,1995,1088,866
356: 1678,1345,1540,1650,1424,466,193,1736,1766
357: 677,1231,1525,1244,90,1922,948,617,229,215
358: 1579,879,1586,1062,402,888,1215,680,1871
359: 732,1295,546,1316,511
360: 653,1145,1935,1193,1350,949,1945
361: 21,403,1801,1978,135,1115,1909
362: 516,189,1125,1401,1686,1200,1425
363: 505,1759,416,469,875,737
364: 505,1759,282,619,1248,904
365: 928,1381,1939,10,1314,1480,503
366: 552,99,297,1829
367: 1864,1445,1127,1218,1503,1336,1305
368: 1297,179,1987,398,252,178,1388,1081,180
369: 524,289,1242,1075,1258,1199,487,419,482
370: 1404,63,1866,1651,1556,775
371: 703,961,827,1820,1032,141,1636,1735,611
372: 1361,842,86,123,1202,1320,54,1508
373: 1651,1594,1491,1556,1608,483,1303,1404
374: 1519,1750,1921,736,729,701,1659,1756,895
375: 36,919,382
376: 1361,842,1607,1027,183,1210,1234
377: 1026,687,1703,592,1790,436,1734,1913
378: 1869,1342,1093,1482,867,79
379: 11,1524,1822,1065,724,1417,317,816
380: 131,846,780,434,1256,990,1472
381: 1620,521,1438,664
382: 1899,346,375,919,204
383: 1855,1578,631,659
384: 62,486,271,1925
385: 557,1983,1924,112,931,873
386: 1842,1577,1430,267,636,269,745,1783
387: 13,925,689,1908,1295
388: 1494,262,1326,139,1632,811,1349,508
389: 272,108,2017,119,709,101,733,253,1416
390: 1969,515,1597,512,413,599,1168
391: 1617,1850,409,1141,1030,1553
392: 517,1289,1552,144,1994,1422
393: 1268,1606,669,113,55,1453,1221,191,1917
394: 653,1145,1091,1935,1952,586,1436,1698
395: 1673,1309,1513,1313,1823,640,863
396: 1966,1244,1368,90,66,427,1814,755,869
397: 1610,1926,116,260,1901,533,1856,903
398: 1297,179,1987,368,1574,180
399: 1201,655,1495,185,1964,985,289,1496,1679
400: 997,1375,300,1916,541
401: 1960,695,1453,1221,334,1606
402: 1062,888,643,1120,358,1579,1215,1871
403: 361,21,1531,989,342,135,1025
404: 1753,998,769,85,1147,810,626
405: 162,339,206,905,1537
406: 288,1197,954,1584,726,932,756,1688,1696
407: 289,1242,758,1201,655,612,1495,1258
408: 9,1073,1894,2016,795
409: 391,1850,1030,1553,202,1500,1506,1818
410: 1315,1650,1846,1870,1954,1424,466,625
411: 254,125,295,270,314,1669,1732
412: 1840,744,203,1290,1728,907
413: 390,987,1969,1597,1724,947,1547,599,188
414: 57,1784,1167,1539,793,49,157
415: 1238,154,957,347,270,314,1180
416: 308,469,1219,363,674,737
417: 1082,209,1273,767,1771,443,2005,906
418: 330,1704,850,1649,1214,537,595,1383,297,331,1355
419: 19,449,482,524,369,487
2006: 783,136,972,1602,127,1203,82
421: 1849,1143,1263,1653,171,584,1851
422: 911,463,1276,1300,440,1259,1845
423: 1023,1726,1601,1228,1220,1050
424: 75,1457,1857,1282,1339,517,720,1926,116,1048
425: 1611,804,699,310,1782,133
426: 1014,648,1292,1989,580,16
427: 1398,299,830,66,930,396,1368,1814,869
428: 735,1942,1230,176,1763,567,667
429: 546,1316,76,526,1973,1590
430: 1952,854,1546,1398,830,1581,1091
431: 2020,304,1633,2014,1518,1095,190,1179
2013: 1868,1795,1254,1270,1350,1945,234,1708
433: 240,904,996,449,282,1977
434: 1301,1047,1256,990,1472,473,380,1167
435: 1549,203,1855,1456,659,1414,1840
436: 1734,1913,1419,496,296,1898,377,1051,1109
437: 596,571,808,56,695,1453
438: 1681,1028,1844,1436,1698,841
439: 1348,757,959,654,1635,212,1440
440: 1004,25,1058,105,422,463,1259
441: 1735,1890,1792,611,827,534,491,537,1383,588,142,1649,1214
442: 293,1101,894,1706,1019,20
443: 301,1198,2005,906,1082,417,1719
444: 1481,923,454,164,717,975
445: 1938,867,1573,892,1342,1807
446: 61,1756,1867,1659,1370,1978
447: 199,1204,944,777,335,531,982
448: 509,1137,1853,1554,1049,1670
449: 19,282,419,544,487,1977,433,996
450: 291,89,741,1684,1962,1886
451: 1233,1965,1775,1467,217,840,318,223
452: 349,1114,2008,273,1070,1352,1883,813
453: 896,835,1387,1474,1134,821,1749,2000
454: 1481,444,164
455: 727,107,348,927,1378,937,938,1452
456: 1434,1061,1982,970,350,135,1318,942
457: 520,1612,1188,1344,573,1207,1177,555
458: 126,1464,96,748,310,966,1509,881
459: 489,983,627,1613,605,1131,1727,2002
460: 1088,1063,866,1593,738,236,1566,1008,167
461: 658,237,563,591,1267,1955
462: 1839,849,945,1852,1785,344,560,124
463: 422,911,1300,25,440,1058,1126
464: 1638,877,543,887,110,497,1586
465: 963,587,340,483,1303,1705,1594,1556
466: 1424,625,1315,1650,410,356,193
467: 1806,43,1538,477,219,1533
468: 1168,1603,512,156,883,1100,1011
469: 416,1219,1248,1306,1747,1759,363
470: 93,1717,1738,322,652,1099,921,1154
471: 1106,551,824,1154,979,353,1042
472: 1687,891,83,606,603,950,1928,1889
473: 275,1399,1200,1243,434,990,1472,1167
2012: 288,1197,1182,174,305,726
475: 70,1066,637,1389,1172,201,1077,1067,1189,1853
476: 318,823,760,1386,1648,749,1906
477: 577,1538,1691,467,1004,536,1533
478: 319,1694,1079,238,1278,47
479: 604,1374,853,765,1500,202,1888,250
480: 628,956,336,1522,862,1251,1999,1918
481: 980,1917,1268,113,55
482: 19,419,524,369,153,946
483: 465,340,1303,1705,1651,1594,373,1556,1404
484: 1492,1299,1642,322,1015,679,1738
485: 1384,1353,347,95,1180,1283
486: 10,1036,271,384
487: 1441,1199,544,1075,369,449,419
488: 668,1467,840,220,1779,690,223,1346
489: 983,459,1140,1615,2002,1825,1484,44
490: 187,1526,1614,50,1617,1850,1003
491: 574,986,534,537,1159,441,1792,1214
492: 1356,1951,327,675,522,1577,1430,267
493: 210,863,592,1419,1936,496,1913
494: 564,1440,748,817,1626,1635,14,126,1509
495: 293,29,1181,1101,1400,1137
496: 1229,296,1319,268,1936,493,1419,436
497: 770,110,1875,543,1638,464,879,1586
498: 608,858,1998,1447,1108,1418
499: 260,790,1901,747,1377,1016,903,120,1489
500: 1760,1881,1988,1588,647,687,1745
501: 506,1932,999,195,562,955,1890,187,588,142
502: 937,1991,764,1087,683,1239
503: 1480,1961,10,1314,513,1381,365
504: 352,1950,1603,354,1011,1209,1445
505: 1759,363,364,240,904,1587,875
506: 501,999,195,562,1271,187,1526
507: 1285,1437,897,607,1097,1155,1582
508: 1677,1349,1392,262,1326,388,139,1768,1632
509: 1400,1137,448,1670,1080,1714,163
510: 1885,1965,898,851,59,992,760,1386
511: 546,721,13,359,1295,820
512: 390,1969,1992,515,468,1168,1815,156
513: 1743,1314,1186,1961,503
514: 1949,1487,594,762,1286
