0: 2023
1: 1589,1947,1142,1629,71,1518
2: 987,1848,188,338
3: 
4: 2024
5: 
6: 613,1136,596
1963: 1765,1454,1078,279,545,1366,1406
8: 2022
9: 1428,1073,408
10: 486,1036,271,1939,1743,1314,365,503
11: 1524,379,1822,724,920,527,1417,317
12: 533,688,168,1856,1610,1602,1203,1569,1794
13: 387,925,189,1295,1425,855,820,511
14: 1626,1635,1290,494,126,1728,1464
15: 1294,1514,1515,1919,1944,1072,1338
16: 1354,580,1035,1016,609,1989,426,648
17: 915,292,1521,673,1191,857,1002,618,1831
18: 1751,1051,1415,1745,1109,1734,687,1120,1988,821
19: 449,282,419,524,369,482,619,946
20: 660,934,1019,1101,1714,1400
21: 1531,403,361,893,1978
1994: 144,1902,1144,1289,392,1817,41,1422
1997: 1915,1157,1502,1360,1411,1252,1288,910
24: 1878,1410,928,1249,1133,992,1885,898
25: 1004,536,440,1058,1542,463
26: 696,147,1781,662,1676,1449,302,1421
27: 624,1027,935,1234
28: 905,220,1537,1401,160,1125,1709
29: 293,1181,495,1778,1172,637,1137
30: 1132,794,812,312,94,324,213
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 605,531,982,1432,1933,1052,1711,40
33: 1338,633,1266,1517,1468,1515,818
34: 1026,1703,933,989,1473,1760,647,1723
35: 1034,97,519,1574,1297,723
36: 375,919,1456
37: 1787,1742,1351,1140,1715,634
38: 688,1580,168,1569,1739,713
39: 539,1600,1644,622,143,1170
40: 1711,1412,1613,1432,32,605,982
41: 1817,1863,578,320,1902,1994
42: 337,1896,1770,1305,1336,1409,1372,1286
43: 1806,467,63,775,1538,1691
44: 1825,672,1567,489,130,734,1615
45: 1439,1535,1630,115,1684,1064,89
46: 1411,1331,1666,1877,208,1260,165
47: 478,238,67,1128,1862,1278,1402,939
48: 1426,2009,790,747,1035,1016
49: 969,1427,414,793,1462,157,961
50: 1431,2019,1526,1617,1141,151,1767
51: 567,667,1251,940,862,1608,628
